frame; timings; with call
0;737;747;
1;657;667;
2;583;593;
3;617;627;
4;583;593;
5;617;627;
6;583;593;
7;704;714;
8;685;695;
9;719;729;
10;725;735;
11;685;695;
12;725;735;
13;670;680;
14;685;695;
15;719;729;
16;725;735;
17;685;695;
18;725;735;
19;670;680;
20;685;695;
21;719;729;
22;725;735;
23;685;695;
24;725;735;
25;777;787;
26;685;695;
27;685;695;
28;708;718;
29;617;627;
30;651;661;
31;719;729;
32;583;593;
33;583;593;
34;685;695;
35;617;627;
36;651;661;
37;617;627;
38;583;593;
39;651;661;
40;651;661;
41;651;661;
42;617;627;
43;617;627;
44;651;661;
45;615;625;
46;685;695;
47;704;714;
48;705;715;
49;651;661;
50;615;625;
51;617;627;
52;651;661;
53;649;659;
54;685;695;
55;617;627;
56;617;627;
57;615;625;
58;651;661;
59;685;695;
60;617;627;
